ano,tipo_dia,fase_dia,condicao_metereologica,mortos
2024,Dia Útil,Anoitecer,Nublado,24
2024,Dia Útil,Plena Noite,Chuva,79
2024,Dia Útil,Plena Noite,Céu Claro,848
2024,Dia Útil,Plena Noite,Garoa/Chuvisco,40
2024,Dia Útil,Plena Noite,Ignorado,39
2024,Dia Útil,Plena Noite,Nevoeiro/Neblina,15
2024,Dia Útil,Plena Noite,Nublado,200
2024,Dia Útil,Plena Noite,Vento,6
2024,Dia Útil,Pleno dia,Chuva,133
2024,Dia Útil,Pleno dia,Céu Claro,778
2024,Dia Útil,Pleno dia,Garoa/Chuvisco,22
2024,Dia Útil,Pleno dia,Ignorado,6
2024,Dia Útil,Pleno dia,Nevoeiro/Neblina,6
2024,Dia Útil,Pleno dia,Nublado,122
2024,Dia Útil,Pleno dia,Sol,121
2024,Fim de Semana,Amanhecer,Chuva,11
2024,Fim de Semana,Amanhecer,Céu Claro,92
2024,Fim de Semana,Amanhecer,Garoa/Chuvisco,7
2024,Fim de Semana,Amanhecer,Ignorado,7
2024,Fim de Semana,Amanhecer,Nevoeiro/Neblina,3
2024,Fim de Semana,Amanhecer,Nublado,14
2024,Fim de Semana,Amanhecer,Sol,2
2024,Fim de Semana,Anoitecer,Chuva,6
2024,Fim de Semana,Anoitecer,Céu Claro,59
2024,Fim de Semana,Anoitecer,Garoa/Chuvisco,5
2024,Fim de Semana,Anoitecer,Ignorado,2
2024,Fim de Semana,Anoitecer,Nublado,16
2024,Fim de Semana,Anoitecer,Sol,2
2024,Fim de Semana,Plena Noite,Chuva,76
2024,Fim de Semana,Plena Noite,Céu Claro,660
2024,Fim de Semana,Plena Noite,Garoa/Chuvisco,22
2024,Fim de Semana,Plena Noite,Ignorado,29
2024,Fim de Semana,Plena Noite,Nevoeiro/Neblina,14
2024,Fim de Semana,Plena Noite,Nublado,134
2024,Fim de Semana,Plena Noite,Vento,1
2024,Fim de Semana,Pleno dia,Chuva,60
2024,Fim de Semana,Pleno dia,Céu Claro,367
2024,Fim de Semana,Pleno dia,Garoa/Chuvisco,5
2024,Fim de Semana,Pleno dia,Ignorado,3
2024,Fim de Semana,Pleno dia,Nevoeiro/Neblina,3
2024,Fim de Semana,Pleno dia,Nublado,67
2024,Fim de Semana,Pleno dia,Sol,63
